DDH;From;To;Fe;S;Cu;MET;Al;Sc;Ca;Y;Sr;Mg;Ba;K;Litologia
ODH-01;3;4.5;58.24;0.02;452.6;1217.6;1.29;0.25;0.27;6.1;18;0.9;65;0.35;MG
ODH-01;4.5;6;40.44;0.01;179.9;1481;3.26;1.7;3.6;6.4;46.3;1.44;389;1.49;MG
ODH-01;6;7.5;50.16;0.01;161.6;1200.7;1.71;0.25;2.75;4;21.2;1.06;280;0.64;MG
ODH-01;7.5;9;50.97;0.005;367.3;1255.5;2.05;0.25;1.78;4.5;14.5;2.66;207;0.66;MG
ODH-01;9;10.5;45.03;0.005;338;1337.2;2.98;2.1;0.69;5.7;14.9;3.45;302;0.74;MG
ODH-01;10.5;12;45.39;0.01;640.8;1651.2;3.28;4.5;0.96;8.4;20.1;2.79;211;0.66;MG
ODH-01;12;13.5;43.5;0.02;533;1953.3;3.6;9.1;0.9;7.2;25.8;2.63;176;0.6;MG
ODH-01;13.5;15;54.34;0.3;665.2;1391;1.68;0.25;0.52;7.7;30.7;1.27;123;0.77;MG
ODH-01;15;16.5;55.66;0.19;746;1503.4;2.04;0.25;0.38;8.8;30;1.37;126;0.7;MG
ODH-01;16.5;18;55.02;0.08;556.8;1230.7;2.4;0.25;0.38;4.7;26.5;1.48;90;0.56;MG
ODH-01;18;19.5;48.86;0.05;1116.2;1486.2;2.76;1.5;1.06;4.9;24.6;2.04;104;0.53;MG
ODH-01;19.5;21;61.78;0.04;727.6;1118;1.18;0.25;0.17;3.9;10.2;1.05;35;0.27;MG
ODH-01;21;22.5;62.72;0.02;652.1;731.3;0.88;0.25;0.12;5.3;5.8;0.66;23;0.07;MG
ODH-01;22.5;24;58.77;0.02;902.4;1119.7;1.5;0.25;0.32;5.1;6.4;1.25;51;0.19;MG
ODH-01;24;25.5;55.68;0.03;828.2;1434.5;1.89;0.25;0.27;5.3;12;1.74;60;0.45;MG
ODH-01;25.5;27;39.93;0.03;1313.7;1706.7;4.09;2.6;0.44;6.6;28.2;2.88;191;1.45;MG
ODH-01;27;28.5;58.49;0.02;1297.2;1246.5;1.74;0.25;0.21;4.7;15.3;0.81;54;0.25;MG
ODH-01;28.5;30;58.54;0.06;1303.6;1239.3;1.82;0.25;0.25;4;11.6;1.23;42;0.24;MG
ODH-01;30;31.5;54.85;0.03;664.1;1513.8;1.9;0.25;0.44;6.8;16.1;1.74;47;0.24;MG
ODH-01;31.5;33;32.22;0.29;1072.15;2210.05;4.49;4.1;1.895;12.65;97.05;3.455;110.5;0.95;MG
ODH-01;33;34.5;64.36;0.17;190.8;1159;0.96;0.25;0.29;7;18.8;0.56;34;0.23;MG
ODH-01;34.5;36;64.82;0.06;292.3;1169.1;0.99;0.25;0.3;6.5;14.5;0.68;29;0.18;MG
ODH-01;36;37.5;62.88;0.1;859;1418.1;1.03;0.25;0.26;9.9;14.7;0.79;27;0.15;MG
ODH-01;37.5;39;62.72;0.05;2117.3;1425.9;1.13;0.25;0.21;19.4;7.6;0.86;25;0.14;MG
ODH-01;39;40.5;61.74;0.18;833.2;1512.1;1.41;0.25;0.21;10.4;6.2;1.45;29;0.28;MG
ODH-01;40.5;42;66.02;0.08;599.4;2038.1;0.74;0.25;0.15;10.4;5.6;0.54;22;0.12;MG
ODH-01;42;43.5;59.54;0.11;568.6;1551.5;1.56;0.25;0.98;6.8;13.6;1.02;99;0.35;MG
ODH-01;43.5;45;65.36;0.06;348.3;887.5;1.01;0.25;0.22;4.8;7.7;0.87;27;0.19;MG
ODH-01;45;46.5;63.81;0.12;638.3;1274.6;1.2;0.25;0.25;4.7;10.5;0.97;31;0.24;MG
ODH-01;46.5;48;58.27;2.4;2707.3;1491.6;2.13;0.25;0.15;4;5.6;1.47;32;0.35;MG
ODH-01;48;49.5;58.13;2.88;2874.2;1625.4;1.68;0.25;0.15;4.8;6.3;2.26;56;0.97;MG
ODH-01;49.5;51;53.08;3.05;1197.5;1828.8;1.98;0.25;0.08;2.2;5.1;3.65;134;1.45;MG
ODH-01;51;52.5;49.3;2.56;2194.8;1854.7;3.05;1.9;0.27;10.4;16.6;2.73;81;1.05;MG
ODH-01;52.5;54;54.66;2.24;972.3;1428.5;1.73;0.25;0.12;6.4;6.5;3.1;60;0.93;MG
ODH-01;54;55.5;50.68;2.25;920.8;1623.9;2.53;0.25;0.14;6.3;38.6;3.3;101;1.52;MG
ODH-01;55.5;57;49.25;0.94;304.9;2208;2.68;1.4;0.16;5.3;12.9;4.29;154;1.88;MG
ODH-01;57;58.5;48.76;1.11;655.8;1894.8;2.44;0.25;0.13;3.2;8.3;4.24;166;1.98;MG
ODH-01;58.5;60;52.15;2.63;958.8;1578.5;1.87;0.25;0.09;3;8.9;3.79;93;1.21;MG
ODH-01;60;61.5;55.99;1.4;1229.95;1449.05;1.9;0.25;0.09;3.2;10.75;2.84;55.5;1.22;MG
ODH-01;61.5;63;60.5;2.97;839.6;1388;1.23;0.25;0.09;4.1;5.5;1.87;28;0.6;MG
ODH-01;63;64.5;55.71;3.32;1290.5;1576.3;1.71;0.25;0.11;2.4;8.2;2.73;56;1.07;MG
ODH-01;64.5;66;53.78;3.35;1588.4;1836.6;1.74;0.25;0.08;3.1;5.4;3.12;68;1.24;MG
ODH-01;66;67.5;58.25;2.92;1951.4;1360.4;1.38;0.25;0.08;2.6;6;2.47;51;0.97;MG
ODH-01;67.5;69;60.4;4.46;3088;1474.7;1.09;0.25;0.07;1.7;5.6;1.9;39;0.69;MG
