HOLE-ID;FROM;TO;AZIMUTH;DIP
ODH-01;0;147.25;0;-90
ODH-02;0;68.3;312;-45
ODH-03;0;189.45;132;-60
ODH-04;0;100.05;0;-90
ODH-05;0;130.65;312;-45
ODH-06;0;125;132;-45
ODH-07;0;177;0;-90
ODH-08;0;178.9;132;-60
ODH-09;0;88.25;0;-90
ODH-10;0;96.15;132;-45
ODH-11;0;105.7;0;-90
ODH-12;0;100.3;132;-60
ODH-13;0;53.2;0;-90
ODH-14;0;71.9;132;-45
ODH-15;0;95;0;-90
ODH-16;0;129.25;312;-45
ODH-17;0;195.4;42;-45
ODH-18;0;106.75;0;-90
ODH-19;0;177.2;132;-60
ODH-20;0;188.4;0;-90
ODH-21;0;133.05;42;-45
ODH-22;0;145.5;132;-46
ODH-23;0;155.45;0;-90
ODH-24;0;116.8;132;-45
ODH-25;0;95.6;222;-60
ODH-26;0;85.25;222;-45
ODH-27;0;81.6;312;-45
ODH-28;0;118.4;42;-45
ODH-29;0;103.75;42;-50
ODH-30;0;154.75;0;-90
ODH-31;0;94.8;0;-90
ODH-32;0;94.15;42;-50
ODH-33;0;411.6;0;-90
ODH-34;0;96.9;312;-45
ODH-35;0;108.45;132;-60
ODH-36;0;60;0;-90
ODH-37;0;49.5;132;-45
ODH-38;0;73.2;42;-60
ODH-39;0;126.5;0;-90
ODH-40;0;241.35;312;-45
ODH-41;0;217.55;0;-90
ODH-42;0;129.1;42;-50
ODH-43;0;112.25;132;-45
ODH-44;0;115.6;132;-45
ODH-45;0;135.25;312;-45
ODH-46;0;77.3;312;-45
ODH-47;0;105.35;222;-45
ODH-48;0;74.2;0;-90
ODH-49;0;171.75;132;-45
ODH-50;0;78;132;-45
ODH-51;0;193.85;42;-60
ODH-52;0;155.3;312;-45
ODH-53;0;34.2;0;-90
ODH-54;0;202.15;132;-50
ODH-55;0;101.25;42;-45
ODH-56;0;86.95;222;-45
ODH-57;0;46.1;222;-38
ODH-58;0;72.8;0;-90
ODH-59;0;214.45;0;-90
ODH-60;0;147.85;0;-90
ODH-61;0;212.8;0;-90
ODH-62;0;123.05;312;-45
ODH-63;0;128.25;132;-60
ODH-64;0;114.9;0;-90
ODH-65;0;187.75;222;-35
ODH-66;0;207.85;312;-60
ODH-67;0;246.5;0;-90
ODH-69;0;183;42;-45
ODH-70;0;415.4;222;-45
ODH-71;0;74.85;312;-45
ODH-72;0;404.5;0;-90
ODH-73;0;236.1;0;-90
ODH-74;0;121.75;0;-90
ODH-75;0;128.1;0;-90
ODH-76;0;427;0;-90
ODH-77;0;52.4;0;-90
ODH-78;0;50.7;312;-45
ODH-79;0;231;0;-90
ODH-80;0;116.85;132;-60
ODH-81;0;118.15;42;-50
ODH-82;0;87.2;0;-90
ODH-83;0;25.1;0;-90
ODH-84;0;27.1;132;-45
ODH-85;0;65.2;0;-90
ODH-86;0;124;0;-90
ODH-87;0;62.05;132;-60
ODH-88;0;62.2;0;-90
ODH-89;0;41;222;-45
ODH-90;0;146.75;0;-90
ODH-91;0;66.2;0;-90
ODH-92;0;103.75;0;-90
ODH-93;0;93.15;0;-90
ODH-94;0;106.5;0;-90
ODH-95;0;154.55;0;-90
ODH-96;0;50;0;-90
ODH-97;0;50.55;0;-90
ODH-98;0;62.4;0;-90
ODH-99;0;103.5;0;-90
ODH-100;0;52;222;-45
ODH-101;0;84.1;0;-90
ODH-102;0;53.8;132;-45
ODH-103;0;121.05;0;-90
ODH-104;0;131.25;132;-45
ODH-105;0;97.8;0;-90
ODH-106;0;122.25;0;-90
ODH-107;0;228.4;0;-90
ODH-108;0;93.5;222;-45
ODH-109;0;30.2;132;-60
ODH-110;0;26;132;-45
ODH-111;0;38.8;312;-45
ODH-112;0;30.6;42;-45
ODH-113;0;43.2;0;-90
ODH-114;0;64.55;312;-50
ODH-115;0;390.5;0;-90
ODH-116;0;157;0;-90
ODH-117;0;291.4;0;-90
ODH-118;0;128.3;0;-90
ODH-119;0;96.9;132;-60
ODH-120;0;190.6;132;-45
ODH-121;0;330;132;-60
