DDH,To,Litologia,Fe,S,Cu,MET,Al,Sc,Ca,Y,Sr,Mg,Ba,K,ESTE_X,NORTE_Y,COTA_Z
ODH-01,6.0,MG,49.34,0.015,316.25,1349.3,2.275,0.975,1.935,6.25,32.15,1.17,227.0,0.92,189710.521,8439045.693,3802.32
ODH-01,9.0,MG,50.565,0.008,264.45,1228.1,1.88,0.25,2.265,4.25,17.85,1.86,243.5,0.65,189710.521,8439045.693,3797.82
ODH-01,12.0,MG,45.21,0.008,489.4,1494.2,3.13,3.3,0.825,7.05,17.5,3.12,256.5,0.7,189710.521,8439045.693,3794.82
ODH-01,15.0,MG,48.92,0.16,599.1,1672.15,2.64,4.675,0.71,7.45,28.25,1.95,149.5,0.685,189710.521,8439045.693,3791.82
ODH-01,18.0,MG,55.34,0.135,651.4,1367.05,2.22,0.25,0.38,6.75,28.25,1.425,108.0,0.63,189710.521,8439045.693,3788.82
ODH-01,21.0,MG,55.32,0.045,921.9,1302.1,1.97,0.875,0.615,4.4,17.4,1.545,69.5,0.4,189710.521,8439045.693,3785.82
ODH-01,24.0,MG,60.745,0.02,777.25,925.5,1.19,0.25,0.22,5.2,6.1,0.955,37.0,0.13,189710.521,8439045.693,3782.82
ODH-01,27.0,MG,47.805,0.03,1070.95,1570.6,2.99,1.425,0.355,5.95,20.1,2.31,125.5,0.95,189710.521,8439045.693,3779.82
ODH-01,30.0,MG,58.515,0.04,1300.4,1242.9,1.78,0.25,0.23,4.35,13.45,1.02,48.0,0.245,189710.521,8439045.693,3776.82
ODH-01,33.0,MG,43.535,0.16,868.125,1861.925,3.195,2.175,1.168,9.725,56.575,2.598,78.75,0.595,189710.521,8439045.693,3773.82
ODH-01,36.0,MG,64.59,0.115,241.55,1164.05,0.975,0.25,0.295,6.75,16.65,0.62,31.5,0.205,189710.521,8439045.693,3770.82
ODH-01,39.0,MG,62.8,0.075,1488.15,1422.0,1.08,0.25,0.235,14.65,11.15,0.825,26.0,0.145,189710.521,8439045.693,3767.82
ODH-01,42.0,MG,63.88,0.13,716.3,1775.1,1.075,0.25,0.18,10.4,5.9,0.995,25.5,0.2,189710.521,8439045.693,3764.82
